city,province,students,latitude,longitude
"Jieyang, Guangdong",Guangdong,2,23.5498,116.3725
"Chongming, Jiangsu",Jiangsu,2,31.6269,121.3973
"Changyue, Fujian",Fujian,2,25.9633,119.5226
"Fujian, Fujian",Fujian,2,26.0745,119.2965
"Guixi, Jiangxi",Jiangxi,2,28.2964,117.2271
"Jinan, Shandong",Shandong,2,36.6512,117.1201
"Hefei, Anhui",Anhui,2,31.8206,117.2272
"Baoshan, Jiangsu",Jiangsu,2,31.4046,121.4892
"Guangji, Hubei",Hubei,2,29.7333,115.7333
"Dean, Fujian",Fujian,1,26.3683,117.462
"Xi'an, Shaanxi",Shaanxi,1,34.3416,108.9398
"Wuyi, Zhejiang",Zhejiang,1,28.8931,119.816
"Fengshun, Guangdong",Guangdong,1,23.7682,116.1828
"Deqing, Guangdong",Guangdong,1,23.1436,111.786
"Dinghai, Zhejiang",Zhejiang,1,30.0241,122.1064
"Wuxi, Zhejiang",Zhejiang,1,31.4906,120.3119
"Dingxian, Hebei",Hebei,1,38.5163,114.9901
"Emei, Sichuan",Sichuan,1,29.6012,103.552
"Wuhua, Guangdong",Guangdong,1,23.9318,115.7753
"Fencheng, Shanxi",Shanxi,1,35.86,111.52
"Dapu, Guangdong",Guangdong,1,24.3499,116.6948
"Jingjiang, Fujian",Fujian,1,32.0176,120.2774
"Wenan, Hebei",Hebei,1,38.873,116.458
"Wenzhou, Zhejiang",Zhejiang,1,28.0153,120.672
"Tiantai, Zhejiang",Zhejiang,1,29.1398,121.0286
"Taiding, Jiangsu",Jiangsu,1,32.473,119.9196
"Gaoyang, Hebei",Hebei,1,38.7003,115.7788
"Gaoan, Jiangxi",Jiangxi,1,28.4151,115.3747
"Taoyuan, Hunan",Hunan,1,28.9017,111.488
"Tengchong, Yunnan",Yunnan,1,25.0255,98.4956
"Fuyang, Zhejiang",Zhejiang,1,30.0487,119.9521
"Funing, Hebei",Hebei,1,39.8882,119.245
"Wenxi, Shanxi",Shanxi,1,35.3753,111.2246
"Tongcheng, Anhui",Anhui,1,31.0552,116.9766
"Tongliang, Sichuan",Sichuan,1,29.8393,106.0549
"Wangjiang, Anhui",Anhui,1,30.1246,116.6879
"Wanxian, Hebei",Hebei,1,38.9571,115.1095
"Wanxian, Sichuan",Sichuan,1,30.8077,108.376
"Danyang, Jiangsu",Jiangsu,1,31.9893,119.5861
"Xiangshan, Zhejiang",Zhejiang,1,29.4766,121.8693
"Xiaoxian, Jiangsu",Jiangsu,1,34.1884,116.9472
"Dabu, Guangdong",Guangdong,1,24.3499,116.6948
"Zhejiang, Zhejiang",Zhejiang,1,30.2741,120.1551
"Yutian, Hebei",Hebei,1,39.8998,117.7393
"Yuyao, Jiangsu",Jiangsu,1,30.0374,121.1547
"Changhuai, Hunan",Hunan,1,29.05,111.5
"Zhangpu, Fujian",Fujian,1,24.1167,117.6167
"Zhangzhou, Fujian",Fujian,1,24.5133,117.6478
"Zhapu, Zhejiang",Zhejiang,1,30.5508,121.1019
"Zhengxian, Henan",Henan,1,34.7466,113.6253
"Xianyou, Fujian",Fujian,1,25.3625,118.6922
"Boye, Hebei",Hebei,1,38.4581,115.4644
"Baxian, Hebei",Hebei,1,39.1162,116.3935
"Zhide, Anhui",Anhui,1,30.6421,117.2863
"Zhixin, Hebei",Hebei,1,38.35,115.5
"Baoan, Guangdong",Guangdong,1,22.5552,113.8838
"Anxian, Sichuan",Sichuan,1,31.5347,104.5666
"Yushan, Jiangxi",Jiangxi,1,28.6832,118.2461
"Yunnan, Yunnan",Yunnan,1,25.0389,102.7183
"Yulin, Shaanxi",Shaanxi,1,38.2851,109.7346
"Changning, Hunan",Hunan,1,26.4167,112.3833
"Yongjia, Zhejiang",Zhejiang,1,28.1528,120.6936
"Yizheng, Jiangsu",Jiangsu,1,32.2721,119.1847
"Changzi, Shanxi",Shanxi,1,36.1222,112.8777
"Yibin, Jiangsu",Jiangsu,1,28.7545,104.6428
"Yantai, Shandong",Shandong,1,37.4638,121.4479
"Yanshan, Hebei",Hebei,1,38.0576,117.2296
"Chaoxian, Anhui",Anhui,1,31.5993,117.8607
"Xiushui, Jiangxi",Jiangxi,1,29.0254,114.5469
"Xiuning, Anhui",Anhui,1,29.7871,118.1869
"Chengde, Rehe",Rehe,1,40.9515,117.9634
"Chuansha, Jiangsu",Jiangsu,1,31.1999,121.6972
"Xilin, Guangxi",Guangxi,1,24.4897,105.0882
"Xiaoshan, Zhejiang",Zhejiang,1,30.1588,120.2645
"Gaoyou, Jiangsu",Jiangsu,1,32.7893,119.4459
"Suqian, Jiangsu",Jiangsu,1,33.9613,118.2748
"Suzhou, Jiangsu",Jiangsu,1,31.299,120.5853
