student,source,source_display,target,target_display,source_year,target_year,source_levels,target_levels,source_country,target_country
N00267,University of British Columbia,University of British Columbia,University of Michigan,University of Michigan,1939,1942,['Unspecified'],['Bachelor'],Other,US
N00267,University of Michigan,University of Michigan,Columbia University,Columbia University,1942,1943,['Bachelor'],['Unspecified'],US,US
N00270,Yenching University,燕京大學,University of Tennessee,University of Tennessee,1932,1941,['Unspecified'],['Master'],China,US
N00270,University of Tennessee,University of Tennessee,University of Illinois,University of Illinois,1941,1943,['Master'],['Unspecified'],US,US
N00271,Zhongshan University,中山大學,Stanford University,Stanford University,1937,1938,['Unspecified'],['Master'],China,US
N00276,Cornell University,Cornell University,Michigan State College,Michigan State College,1941,1943,['Unspecified'],['Bachelor'],US,US
N00277,Drexel Institute of Technology,Drexel Institute of Technology,University of Pennsylvania,University of Pennsylvania,1939,1943,['Bachelor'],['Unspecified'],US,US
N00278,Stanford University,Stanford University,Lehigh University,Lehigh University,1938,1943,"['Bachelor', 'Master']",['Unspecified'],US,US
N00279,Yenching University,燕京大學,University of Missouri,University of Missouri,1935,1938,['Unspecified'],['Master'],China,US
N00279,University of Missouri,University of Missouri,University of California,University of California,1938,1943,['Master'],['Unspecified'],US,US
N00280,Ohio State University,Ohio State University,University of Michigan,University of Michigan,1938,1943,['Unspecified'],['Bachelor'],US,US
N00282,University of Hong Kong,University of Hong Kong,Central Institute for Deaf,Central Institute for Deaf,1928,1943,['Unspecified'],['Unspecified'],Other,US
N00283,University of Hong Kong,University of Hong Kong,New York University,New York University,1940,1943,['Unspecified'],['Unspecified'],Other,US
N00286,St. John's University,聖約翰大學,University of Michigan,University of Michigan,1937,1941,['Unspecified'],['Master'],China,US
N00287,St. John's University,聖約翰大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1919,1922,['Unspecified'],['Unspecified'],China,US
N00288,Tientsin Institute of Commerce,天津工商學院學,University of Detroit,University of Detroit,1939,1942,['Unspecified'],['Unspecified'],China,US
N00288,University of Detroit,University of Detroit,New York University,New York University,1942,1943,['Unspecified'],['Unspecified'],US,US
N00290,Ginling College,金陵女子文理學院,Smith College,Smith College,1931,1939,['Unspecified'],['Master'],China,US
N00290,Smith College,Smith College,New School For Social Research,New School For Social Research,1939,1944,['Master'],['Doctorate'],US,US
N00293,Tsinghua University,清華大學,Cornell University,Cornell University,1937,1940,['Unspecified'],['Bachelor'],China,US
N00293,Cornell University,Cornell University,Harvard University,Harvard University,1940,1942,['Bachelor'],['Master'],US,US
