id,from,to,weight,edge_betweenness
p0,Aachen Technical University,Jinling University,1,0.0010332270001723724
p1,Aachen Technical University,Yenching University,1,0.0028736169951019894
p2,Air Force Technical College,California Institute of Technology,1,0.0013064854547084367
p3,Air Force Technical College,Jiaotong University,1,0.0013903892141622555
p4,Air Force Technical College,University of Toronto,1,0.0012099693264036654
p5,Albion College,Jinan University,1,0.00034981697856158617
p6,Albion College,Olivet College,1,0.0009845221513870139
p7,Albion College,University of Michigan,1,0.0033332351727783263
p8,Albion College,Southeast University,1,0.0012639004400163039
p9,Alfred University,Beijing University,1,0.003906843995274357
p10,Alverno College of Music,Briar Cliff College,1,1.1697137710402265e-05
p11,Alverno College of Music,Columbia University,1,0.0037952418887254127
p12,Alverno College of Music,Shandong University,1,9.990496883854079e-05
p13,American Conservatory of Music,Guanghua University,1,0.0028678314869349194
p14,American Conservatory of Music,Northeastern University,1,0.00103901250833944
p15,American National University,École Libre des Sciences Politiques,1,0.003906843995274357
p16,American National University,New York University,1,0.002271311511414415
p17,American National University,Yenching University,1,0.0040719231940265985
p18,American National University,Jinling University,1,0.0014886780109396478
p19,Anhui University,Stanford University,1,0.003906843995274357
p20,Antioch College,Lingnan University,1,0.002483985865023114
p21,Antioch College,China College University Department,1,0.00011024794140220274
p22,Antioch College,University of Minnesota,1,0.0014907364395024343
p23,Arizona State Teachers' College,Jiaotong University,1,0.0007236693722676401
p24,Arizona State Teachers' College,North American Institute of Aviation,1,0.0006271705762270278
p25,Arizona State Teachers' College,Yenching University,1,0.003079934731705752
p26,Arizona State Teachers' College,Zhongshan University,1,0.0007606913353940402
p27,Arkansas State College,University of Chicago,1,0.0036124742762077104
p28,Arkansas State College,University of Cincinnati,1,0.00029436971906664314
p29,Armour Institute of Technology,University of Cincinnati,1,0.003906843995274356
p30,Armstron College,University of Texas,1,0.003906843995274357
p31,Armstrong Junior College,Ohio Wesleyan University,1,0.003906843995274357
p32,Army University,Central Army Military Academy,1,0.003906843995274357
p33,Art Institute of Chicago,Southeast University,1,0.0026688146915394275
p34,Art Institute of Chicago,Kansas State College,1,0.0005509763624553634
p35,Art Institute of Chicago,Lingnan University,1,0.004680163573242685
p36,Art Institute of Chicago,Shanghai Xinhua University of Art,1,0.003906843995274357
p37,Asbury College,State University of Iowa,1,0.0077902937151279085
p38,Asbury College,Rochester Institute of Technology,1,0.003906843995274357
p39,Atlantic Union College,Fordham University,1,0.003906843995274357
p40,Aurora University,International University,1,0.0030795771904485103
p41,Aurora University,Loyola University,2,0.00034420566146267255
p42,Aurora University,Catholic University of America,1,0.0007750542524153363
p43,Aurora University,Harvard University,1,0.006726297529691613
p44,Baldwin Wallace College,New York University,1,0.003906843995274357
p45,Barnard College,Master Institute of United Arts,1,1.1697137710402265e-05
p46,Beijing University,California Institute of Technology,3,0.0011612259046171263
p47,Beijing University,Stanford University,2,0.000744314833914251
p48,Beijing University,Columbia University,10,0.0020240043483693315
p49,Beijing University,Nankai University,1,0.0008061443902755547
p50,Beijing University,University of Michigan,2,0.0017474034627001423
p51,Beijing University,Purdue University,2,0.0010694145232228748
p52,Beijing University,Hartford Seminary Foundation,1,0.000751558536695023
p53,Beijing University,University of Chicago,2,0.0011191143340232963
p54,Beijing University,University of Missouri,1,0.0002788277796427104
p55,Beijing University,Oregon State College,1,0.0005527900943239407
p56,Beijing University,Guilford College,1,0.002344087865874986
p57,Beijing University,Oberlin College,2,0.00040357166358552586
p58,Beijing University,New School For Social Research,1,0.00031028666263940044
p59,Beijing University,Massachusetts Institute of Technology,2,0.0007423316189795978
p60,Beijing University,University of Toronto,1,0.00025151693224545056
p61,Beijing University,Canisus College,1,0.0010337542079060255
p62,Beijing University,Harvard University,1,0.0011732016038151574
p63,Beijing University,Yenching University,1,0.001815908133871766
p64,Beijing University,University of Kansas,1,0.0003247986349755468
p65,Beijing University,University of Minnesota,1,0.0006391871774745084
p66,Beijing University,University of Illinois,1,0.000715868203332705
p67,Beijing University,University of Maryland,1,0.0010866529814454492
p68,Beijing University,University of California,1,0.0006636618266017662
p69,Beiyang University,Columbia University,1,0.002118872163487533
p70,Beiyang University,Technical College of Hanover,1,0.0011297098213703472
p71,Beiyang University,University of London,1,0.0003871891596789888
p72,Beiyang University,Cornell University,1,0.0007601962527305043
p73,Beiyang University,State University of Iowa,1,0.0006011620592988147
p74,Beiyang University,University of Pennsylvania,1,0.0007700281256751281
p75,Beiyang University,Massachusetts Institute of Technology,1,0.0007490340056785577
p76,Beiyang University,Colorado School of Mines,1,0.000425734970278788
p77,Beloit College,University of Chicago,1,0.003906843995274357
p78,Bennett College,Radcliffe College,1,0.003906843995274357
p79,Bethel College,Cumberland Theological Seminary,1,1.1697137710402265e-05
p80,Birmingham University,Jiaotong University,1,0.003615695300601948
p81,Birmingham University,University of Oklahoma,1,0.00029114869467240394
p82,Birmingham-Southern College,Virginia Polytechnic Institute,1,0.003906843995274357
p83,Blackstone College,Bryn Mawr College,1,0.0010042508883464276
p84,Blackstone College,Mount Holyoke College,1,0.002992771838482591
p85,Boston University,Jiaotong University,1,0.0005858422161452019
p86,Boston University,University of Michigan,1,0.0016548828938343307
p87,Boston University,Harvard University,1,0.0011743748687737421
p88,Boston University,Hwa Nan College,1,0.0006892018847776229
p89,Boston University,Catholic University of America,1,0.000964301426494826
p90,Boston University,Guangdong National University,1,0.000590337924966959
p91,Boston University,Lingnan University,1,0.0009718344967148238
p92,Boston University,St. John's University,1,0.0009179021374255624
p93,Briar Cliff College,Columbia University,1,0.0037952418887254127
p94,Briar Cliff College,Shandong University,1,9.990496883854079e-05
p95,Brown University,Jiaotong University,1,0.0006975237764193228
p96,Brown University,Massachusetts Institute of Technology,2,0.001279076194807024
p97,Brown University,Rensselaer Polytechnic Institute,1,0.0001548799998370566
p98,Brown University,Yenching University,2,0.0021561877175986606
p99,Brown University,Huazhong University,1,0.000139366446566129
p100,Bryn Mawr College,China Public School,1,0.0018022981721331228
p101,Bryn Mawr College,Goucher College,1,0.00026725011725463104
p102,Bryn Mawr College,Lingnan University,1,0.0032643626495708618
p103,Bryn Mawr College,St. John's University,1,0.002869259683064993
p104,Bryn Mawr College,Smith College,1,0.00041108843064241067
p105,California Institute of Technology,Stanford University,1,0.0014540449057311665
p106,California Institute of Technology,University of California,1,0.0020239492185514124
p107,California Institute of Technology,Zhongshan University,1,0.0009248549412474521
p108,California Institute of Technology,Mapúa Institute of Technology,1,0.0038679525043691207
p109,California Institute of Technology,University of the Philippines,1,0.0029206954551878384
p110,California Institute of Technology,Zhijiang University,1,0.0014760961250728393
p111,California Institute of Technology,Tsinghua University,3,0.0010532984364604273
p112,California Institute of Technology,University of Toronto,2,0.0004936897210072406
p113,California Institute of Technology,Institute for Advanced Study,1,0.0013682712802744015
p114,California Institute of Technology,Jiaotong University,4,0.0011203330317378817
p115,California Institute of Technology,Massachusetts Institute of Technology,1,0.001397273632618639
p116,California Institute of Technology,Rensselaer Polytechnic Institute,1,0.0008030398488523446
p117,California Institute of Technology,Yenching University,1,0.003931314361293128
p118,California Institute of Technology,University of Michigan,2,0.004138194370004239
p119,California Institute of Technology,Northeast University,1,0.003906843995274357
p120,California Institute of Technology,Shanghai University,2,0.003310975706235857
p121,California Institute of Technology,Colorado School of Mines,1,0.0007821879027998012
p122,California Institute of Technology,McGill University,1,0.001033998114329516
p123,California Institute of Technology,University of Hong Kong,1,0.0014344854591054306
p124,California Institute of Technology,Holy Cross College,1,0.003906843995274357
p125,California Institute of Technology,University of London,1,0.0007570103781833513
p126,California Institute of Technology,Xiamen University,1,0.0008142275521791965
p127,California Institute of Technology,Datong University,1,0.0014887489924975204
p128,Cambridge University,Central Army Military Academy,1,0.003172855829960616
p129,Cambridge University,Yenching University,3,0.0016782818906028217
p130,Cambridge University,Central University,3,0.00033251757985485776
p131,Cambridge University,University of London,1,0.00043194587945824813
p132,Cambridge University,Harvard University,2,0.0008652590495138332
p133,Cambridge University,Jiaotong University,1,0.000789532578211368
p134,Cambridge University,University of Michigan,1,0.0015013832274820968
p135,Cambridge University,Columbia University,1,0.001681623620555095
p136,Cambridge University,Ginling College,1,0.0006445821942261452
p137,Cambridge University,Duke University,1,0.0006104845243809204
p138,Cambridge University,Syracuse University,1,0.00047190546536082014
p139,Canisus College,Columbia University,1,0.002873089787368334
p140,Carleton College,Yenching University,1,0.0013808010150504453
p141,Carleton College,University of Chicago,3,0.0010268456216326904
p142,Carleton College,University of Michigan,1,0.0014991973585912306
p143,Carnegie Institute of Technology,McGill University,1,0.0005438798570806156
p144,Carnegie Institute of Technology,Zhejiang University,2,0.0008932019957299674
p145,Carnegie Institute of Technology,Shanghai University,1,0.005490899531083722
p146,Carnegie Institute of Technology,Syracuse University,1,0.00123715879139524
p147,Carnegie Institute of Technology,Macalester College,1,0.003906843995274357
p148,Case School of Applied Science,Mount Union College,1,1.1697137710402265e-05
p149,Catholic University of America,College of St. Elisabeth,1,0.00045023767679625986
p150,Catholic University of America,Yenching University,1,0.00830279884021781
p151,Catholic University of America,Mount Mary College,1,0.003906843995274357
p152,Catholic University of America,Loyola University,1,0.0015580085654413455
p153,Catholic University of America,Western Maryland College,1,0.003906843995274357
p154,Catholic University of America,Fu-jen University,2,0.0015152755832076009
p155,Catholic University of America,Purdue University,1,0.002761542659935551
p156,Catholic University of America,Guangdong National University,1,0.0004995284975191867
p157,Central Army Military Academy,Field Artillery School,1,0.003790534760291622
p158,Central Army Military Academy,Royal Military College,1,0.00298406139253944
p159,Central Army Military Academy,Nankai University,1,0.0035676750987892443
p160,Central Army Military Academy,Shanghai University,1,0.007714961081983843
p161,Central Institute for Deaf,University of Hong Kong,1,0.003906843995274357
p162,Central Political School,University of Washington,1,0.0015098695496599988
p163,Central Political School,Louisiana State University,1,0.0003402209051499932
p164,Central Political School,New York University,1,0.002329908865371572
p165,Central Political School,Southeast University,1,0.0018915402598810274
p166,Central Political School,Zhonghua University,1,0.003906843995274357
p167,Central Political School,University of Minnesota,1,0.0021894754372707528
p168,Central University,State University of Iowa,1,0.0010415509285963535
p169,Central University,Harvard University,4,0.0005972158830311147
p170,Central University,University of Toronto,3,0.0002377518957762395
p171,Central University,University of California,2,0.0005938654099537412
p172,Central University,Wellesley College,1,0.0004619011564781998
p173,Central University,University of Edinburgh,1,0.0005879535972184019
p174,Central University,Columbia University,3,0.0016766353348642178
p175,Central University,University of Minnesota,3,0.0005324445860141459
p176,Central University,Edinburgh University,1,0.0019222956930606042
p177,Central University,University of Michigan,5,0.0012683968701871955
p178,Central University,Cornell University,1,0.0005036350736802937
p179,Central University,Massachusetts Institute of Technology,2,0.0005493888289734292
p180,Central University,Oregon State College,2,0.00042223331435788683
p181,Central University,University of Iowa,1,0.0007030538756272529
p182,Central University,Ohio State University,1,0.0005373292735314146
p183,Central University,University of Wisconsin,1,0.0004283849261770344
p184,Central University,Jiaotong University,1,0.0006989493577794734
p185,Chemical Institute of Lyon,Sino-French University,1,0.0005960758115331802
p186,Chemical Institute of Lyon,University of Lyon,1,0.0007281651332114808
p187,Chemical Institute of Lyon,University of Paris,1,0.002582603050529702
p188,Chicago Aeronautical University,Illinois Institute of Technology,1,0.0038951468575639542
p189,Chicago Aeronautical University,University of Kentucky,1,1.1697137710402265e-05
p190,"Children Hospital, Massachusetts",Williams Hospital,1,1.1697137710402265e-05
p191,China Academy,University of California,1,0.002679305464861845
p192,China Academy,University of London,1,0.0012275385304125188
p193,China College University Department,University of Hawaii,1,0.0014977085589387143
p194,China College University Department,University of Minnesota,1,0.002324546930355309
p195,China Public School,Goucher College,1,0.002104545823141235
p196,China University,Haverford College,1,0.003906843995274357
p197,Chongqing University,Harvard University,1,0.003906843995274357
p198,Chrysler Institute of Engineering,Jiaotong University,1,0.0019154686875132183
p199,Chrysler Institute of Engineering,Purdue University,1,0.0019913753077611387
p200,Claremont College,Lingnan University,1,0.0008505498245093704
p201,Claremont College,University of California,1,0.0008292487567158874
p202,Claremont College,Yenching University,1,0.0014231569933478153
p203,Claremont College,Shanghai University,1,0.0008324767059882707
p204,Clarence White School of Photography,Columbia University,1,0.0019138938774908888
p205,Clarence White School of Photography,Shanghai University,1,0.0010351844667936651
p206,Clarence White School of Photography,University of Pennsylvania,1,0.0009577656509898042
p207,Clark University,New York University,1,0.0005046001232709195
p208,Clark University,Peiping College of Finance and Commerce,1,0.0009405176476771269
p209,Clark University,Columbia University,2,0.0012690896029191592
p210,Clark University,Shanghai University,1,0.0008145549671733456
p211,Clark University,University of Michigan,1,0.0012553229358000242
p212,Clark University,University of Wisconsin,1,0.0004968830956044174
p213,Clark University,University of Toronto,1,0.0002332864145404927
p214,Clark University,Zhongshan University,1,0.0003175602159826755
p215,Clark University,Stanford University,1,0.0005346902305181932
p216,College of Medical Evangelists,Pacific Union College,1,1.1697137710402265e-05
p217,College of St. Elisabeth,Yenching University,1,0.0038979115030514863
p218,College of St. Elisabeth,Fordham University,2,0.0008859054038369272
p219,College of St. Teresa,Qilu University,1,0.002024206759520365
p220,College of St. Teresa,Yunnan University,1,0.003906843995274357
p221,College of St. Teresa,Radcliffe College,1,0.003923138450824461
p222,College of St. Teresa,Southwest Associated University,1,0.0019357392500155457
p223,College of the Pacific,Jinan University,1,0.0031992920551231208
p224,College of the Pacific,North Dakota State College,1,0.0007075519401512382
p225,Colorado College,Harvard University,1,0.00223296928133166
p226,Colorado College,St. John's University,2,0.001673874713942698
p227,Colorado School of Mines,Massachusetts Institute of Technology,1,0.0016467446217562484
p228,Colorado School of Mines,St. John's University,1,0.0018697643932034708
p229,Colorado School of Mines,University of Santo Tomas,2,0.003906843995274357
p230,Colorado School of Mines,McGill University,1,0.00041276988916369233
p231,Colorado School of Mines,Tsinghua University,1,0.0011853780623492358
p232,Colorado School of Mines,University of the Philippines,1,0.0010016457555709504
p233,Colorado School of Mines,Yenching University,1,0.0032470593402403056
p234,Columbia University,Jinling University,2,0.002231513020331619
p235,Columbia University,University of Edinburgh,1,0.002504375436034951
p236,Columbia University,Denison University,1,0.0025841541726007184
p237,Columbia University,New York University,4,0.004062511057047106
p238,Columbia University,Southeast University,3,0.004019007492463803
p239,Columbia University,Yenching University,20,0.006128234607505466
p240,Columbia University,Harvard University,3,0.003950861540784601
p241,Columbia University,Tsinghua University,6,0.003038960505037646
p242,Columbia University,Shanghai University,9,0.004569840244096497
p243,Columbia University,Nankai University,2,0.0025773768814832503
p244,Columbia University,Missouri School of Mines & Metals,1,0.0019737859394386424
p245,Columbia University,Oberlin College,2,0.0016959336099285835
p246,Columbia University,Lingnan University,8,0.00323815274365955
p247,Columbia University,Nihon University,1,0.003906843995274357
p248,Columbia University,Stanford University,4,0.003992905449569441
p249,Columbia University,Northwestern University,1,0.0025551373813256077
p250,Columbia University,LaSalle College,1,0.003906843995274357
p251,Columbia University,University of Missouri,3,0.0011227709435432194
p252,Columbia University,Juilliard School of Music,1,0.009699264491645043
p253,Columbia University,University of British Columbia,1,0.0015130923262208925
p254,Columbia University,University of Michigan,9,0.007333656981986063
p255,Columbia University,St. John's University,4,0.0048524443600228735
p256,Columbia University,University of Wisconsin,5,0.002266583535312129
p257,Columbia University,Kansas State College,1,0.002370302168605528
p258,Columbia University,University of California,1,0.0026704055181764655
p259,Columbia University,Fujian Union University,2,0.0014796851422596864
p260,Columbia University,University of Rochester,1,0.0012953241251056956
p261,Columbia University,Yale University,1,0.001603394258329641
p262,Columbia University,Syracuse University,1,0.002986874601800456
p263,Columbia University,West China University,1,0.001059564739659721
p264,Columbia University,Fu-jen University,2,0.0022162464378853706
p265,Columbia University,University of Washington,3,0.0033376868280531693
p266,Columbia University,University of Chicago,2,0.003471118484219213
p267,Columbia University,Massachusetts Institute of Technology,2,0.0026353004582006833
p268,Columbia University,Mills College,1,0.0009245908538491811
p269,Columbia University,New School For Social Research,2,0.0010475029372029926
p270,Columbia University,Cornell University,1,0.0017907029967646885
p271,Columbia University,Haverford College,2,0.002195351126506609
p272,Columbia University,Qilu University,1,0.0031280080038459308
p273,Columbia University,Guangdong College of Law,1,0.001750132586711876
p274,Columbia University,Zhongshan University,4,0.002578855528536587
p275,Columbia University,Radcliffe College,1,0.003056226826625291
p276,Columbia University,Rosary College,1,0.0031731231965545477
p277,Columbia University,Georgetown University,1,0.0009475296703476579
p278,Columbia University,Nankai School,1,0.002476908135330601
p279,Columbia University,University of Southern California,3,0.0026689358658942976
p280,Columbia University,Pomona College,1,0.0026955515368888242
p281,Columbia University,University of Toronto,2,0.0013874177030572205
p282,Columbia University,Fudan University,2,0.001948009850652675
p283,Columbia University,Indiana University,1,0.0017569265208145892
p284,Columbia University,George Washington University,1,0.0038656665902298583
p285,Columbia University,University of Pennsylvania,1,0.0027604687999975286
p286,Columbia University,Peking Union Medical College,1,0.0013503522023908681
p287,Columbia University,Shandong University,1,0.002313818670847197
p288,Columbia University,Medical College of Virginia,1,0.003909192128478369
p289,Columbia University,Miami University,1,0.0024446277074176696
p290,Columbia University,Zhijiang University,1,0.004745535058039229
p291,Columbia University,University of Dubuque,1,0.0011740355458166837
p292,Columbia University,Niagara University,1,0.003906843995274357
p293,Columbia University,Detroit Institute of Technology,1,0.0019077115149626763
p294,Columbia University,University of Hong Kong,1,0.0025874082163120423
p295,Columbia University,Tri-State College,1,0.0026501803839502334
p296,Columbia University,George Peabody College,2,0.0027142857537078087
p297,Columbia University,Lowell Textile Institute,1,0.0014565291792743708
p298,Columbia University,Oxford University,1,0.002493043667554762
p299,Columbia University,Pratt Institute,1,0.003906843995274357
p300,Columbia University,Southwest Associated University,1,0.0029468670583421663
p301,Columbia University,Fordham University,1,0.011104744497069503
p302,Columbia University,Propaganda Fide,1,0.003847383545246478
p303,Columbia University,University of Kansas,1,0.001244854301258382
p304,Columbia University,University of Brussels,1,0.0038951468575639542
p305,Columbia University,University of Geneva,1,0.0038951468575639542
p306,Columbia University,Northeastern University,1,0.0049815693272033945
p307,Columbia University,Wuhan University,1,0.0017025713620973393
p308,Columbia University,Hongkong University,1,0.003906843995274357
p309,Cooper Union Institute of Technology,University of Michigan,1,0.003906843995274357
p310,Cornell University,Tientsin Institute of Commerce,2,0.0020795424038082856
p311,Cornell University,Jinling University,3,0.0009712463413312178
p312,Cornell University,Madison College,2,0.0013320521370474823
p313,Cornell University,Michigan State College,2,0.001998542715553096
p314,Cornell University,Ginling College,1,0.0010088070729602234
p315,Cornell University,University of Rochester,1,0.0006082240265831481
p316,Cornell University,Harvard University,2,0.0010298256266622922
p317,Cornell University,Tsinghua University,5,0.0007393335238182438
p318,Cornell University,Lingnan University,2,0.0009065333167633762
p319,Cornell University,Penn State College,1,0.0007699884671513369
p320,Cornell University,Massachusetts Institute of Technology,4,0.0005388534582053655
p321,Cornell University,University of Hong Kong,1,0.0009385925511224072
p322,Cornell University,University of Colorado,1,0.0008564392607080383
p323,Cornell University,Jiaotong University,5,0.0013488040685093554
p324,Cornell University,University of Pennsylvania,1,0.0006189870633971648
p325,Cornell University,Fudan University,1,0.0007080310719428885
p326,Cornell University,Southwest Associated University,1,0.0013946212001676483
p327,Cornell University,Haverford College,1,0.0011616962882380192
p328,Cornell University,Shanghai University,1,0.0015211265033660832
p329,Cornell University,Lenoir-Rhyne College,1,0.0021386430246647554
p330,Cornell University,New York University,1,0.0008294140744119392
p331,Cornell University,Princeton University,1,0.0005662533551677833
p332,Cornell University,University of Chicago,1,0.0008869001321152696
p333,Cornell University,St. John's University,5,0.0011760690013320387
p334,Cornell University,Jinan University,1,0.0020192053415877096
p335,Cornell University,University of Michigan,2,0.001382887581873643
p336,Cornell University,Nankai University,2,0.0009339758134514343
p337,Cornell University,State University of Iowa,2,0.0016697109530505485
p338,Cornell University,Yenching University,3,0.00119357667106607
p339,Cornell University,University of Hawaii,1,0.0004758896343810768
p340,Cornell University,Radcliffe College,1,0.0012282241897018057
p341,Cornell University,Qilu University,1,0.0015724436001918482
p342,Cornell University,Southeast University,1,0.0012833907736859722
p343,Cornell University,West China University,1,0.0005082618363776888
p344,Cornell University,University of London,1,0.0005290837898237427
p345,Cornell University,Louisiana State University,1,0.0015914474296811149
p346,Cornell University,University of Tennessee,1,0.001089903478707237
p347,Creighton University,University of California,1,0.003906843995274357
p348,Curtiss-Wright Technical Institute,St. John's University,1,0.0016058365246265616
p349,Curtiss-Wright Technical Institute,University of Hong Kong,1,0.0009096950649777159
p350,Curtiss-Wright Technical Institute,University of Southern California,1,0.001546090351032156
p351,Dartmouth College,Detroit College of Law,1,5.8485688552011326e-05
p352,Dartmouth College,Southeast University,1,0.004870195853925905
p353,Dartmouth College,Royal Military College,1,0.0011350791647108433
p354,Datong University,Worcester Polytechnic Institute,1,0.003906843995274357
p355,Datong University,University of Michigan,3,0.0058516291642451415
p356,Datong University,St. John's Hospital,1,0.003906843995274357
p357,Datong University,University of Illinois,1,0.0025797685230383575
p358,Datong University,University of Washington,1,0.0019334488049252642
p359,Daxia University,Ohio State University,1,0.0006938737719098559
p360,Daxia University,George Washington University,1,0.0015941270825730988
p361,Daxia University,Purdue University,1,0.0017193410489532775
p362,De La Salle College,Harvard University,1,0.003906843995274357
p363,DePaul University,New York University,1,0.003906843995274357
p364,Denison University,New York University,1,0.0013226898226736444
p365,Detroit College of Law,Southeast University,1,0.003848358306722345
p366,Detroit Institute of Technology,University of Michigan,1,0.001999132480311681
p367,Dickinson College,Fujian Union University,1,0.002858847056122613
p368,Dickinson College,Penn State College,1,0.0010479969391517492
p369,Dominican College,University of California,1,0.0014676653069337089
p370,Dominican College,University of Michigan,1,0.0024391786883406533
p371,Drake University,Peking Union Medical College,1,0.000516255667239888
p372,Drake University,Yenching University,1,0.0026045069980641434
p373,Drake University,Zhongshan University,1,0.0008000064939112791
p374,Drew University,Virginia Polytechnic Institute,2,0.0010680652459034037
p375,Drew University,Zhijiang University,1,0.0005174120662061536
p376,Drew University,Seton Hill College,1,0.0002576184218111439
p377,Drew University,Yenching University,2,0.0023711693408702108
p378,Drew University,Ginling College,1,0.00032013235329737713
p379,Drew University,Fujian Union University,1,0.0005205750850295447
p380,Drew University,University of Chicago,1,0.0015971438522566612
p381,Drew University,Hwa Nan College,1,0.0005307348436290061
p382,Drexel Institute of Technology,University of Pennsylvania,1,0.003906843995274357
p383,Duke University,Qilu University,1,0.0004099855246230549
p384,Duke University,University of Chicago,1,0.0018935161949931968
p385,Duke University,Fu-jen University,1,0.00047077756612999637
p386,Duke University,George Washington University,1,0.0007512136862304128
p387,Duke University,Syracuse University,1,0.0004157812178088907
p388,Duquesne University,University of Pittsburgh,1,0.003906843995274357
p389,Ecole des Hautes Etudes Industrielles et Commerciales,Harvard University,1,0.003906843995274357
p390,Edinburgh University,University of Paris,1,0.00031747000009560043
p391,Edinburgh University,Harvard University,1,0.005606616233276631
p392,Edinburgh University,Glasgow University,1,0.003906843995274357
p393,Elmira College,Johns Hopkins University,1,0.003906843995274357
p394,Emmanuel College,Zhongshan University,1,0.003906843995274357
p395,Emmanuel Missionary College,Michigan State College,1,0.0038951468575639542
p396,Emmanuel Missionary College,Shanghai Sanyu University,1,1.1697137710402265e-05
p397,Field Artillery School,Royal Military College,1,0.00011630923498273428
p398,Fletcher School of Law & Diplomacy,University of Michigan,1,0.003906843995274357
p399,Florida Southern College,Jiaotong University,1,0.0005581409780253568
p400,Florida Southern College,University of Michigan,2,0.0022123527694787788
p401,Florida Southern College,Shanghai University,1,0.0011898459274315204
p402,Foochow College,Forest Park University,1,1.1697137710402265e-05
p403,Foochow College,University of Illinois,1,0.0038951468575639542
p404,Fordham University,Polytechnic Institute of Brooklyn,1,0.003906843995274357
p405,Fordham University,Propaganda Fide,1,5.946045002787818e-05
p406,Forest Park University,University of Illinois,1,0.0038951468575639542
p407,Fu-jen University,Syracuse University,1,0.0005565080525173822
p408,Fu-jen University,University of Notre Dame,1,0.0005973600988770933
p409,Fu-jen University,University of Washington,1,0.0006776473190988307
p410,Fu-jen University,Iowa State College,1,0.0006473572933506106
p411,Fu-jen University,Princeton University,1,0.0003168769093657353
p412,Fu-jen University,Tri-State College,1,0.0004242153137326269
p413,Fu-jen University,University of Michigan,2,0.0020417773806828774
p414,Fu-jen University,Michigan State College,1,0.0007035741035094667
p415,Fudan University,New York University,2,0.0009327016746059307
p416,Fudan University,University of Michigan,3,0.0019182349950751206
p417,Fudan University,University College,1,0.003906843995274357
p418,Fudan University,University of Illinois,1,0.0007609890015205323
p419,Fudan University,Indiana University,1,0.00035507321062102704
p420,Fudan University,George Washington University,1,0.0007610471270983879
p421,Fudan University,Georgetown University,1,0.00023657759137906008
p422,Fudan University,State University of Iowa,2,0.0007493720428413578
p423,Fudan University,University of Chicago,1,0.0010162087306219447
p424,Fudan University,University of Wisconsin,1,0.000434486987589103
p425,Fudan University,University of Paris,1,0.0011614319504096961
p426,Fudan University,University of Minnesota,1,0.0006267377672050132
p427,Fujian Union University,Oregon State College,1,0.0004204207926039673
p428,Fujian Union University,Penn State College,1,0.0002680520447152795
p429,Fujian Union University,University of Southern California,3,0.0004470469793594144
p430,Fujian Union University,St. John's University,1,0.0006677734770511161
p431,Fujian Union University,University of Minnesota,2,0.0003984177369619939
p432,Fujian Union University,Oberlin College,2,0.00027981193531332726
p433,Fujian Union University,University of Chicago,2,0.0007283399633555682
p434,Fujian Union University,Yale University,1,0.00030192662511700113
p435,Fujian Union University,University of Pennsylvania,4,0.000522363632354436
p436,Fujian Union University,University of Michigan,1,0.0011731135124148672
p437,Fujian Union University,Harvard University,1,0.0008043004996022595
p438,Fujian Union University,Massachusetts Institute of Technology,1,0.0005204074937516114
p439,Fujian Union University,Michigan State College,1,0.0007649766463622602
p440,Fujian Union University,Yenching University,2,0.0009527523639685157
p441,George Peabody College,Shanghai University,3,0.001265683303181664
p442,George Peabody College,Southwestern Seminary,1,0.00026854834961318326
p443,George Peabody College,University of Colorado,1,0.0004502566506534479
p444,George Peabody College,Scarritt College,1,0.00042626040188548743
p445,George Washington University,Hartford Seminary Foundation,1,0.0005278911554018735
p446,George Washington University,Lingnan University,1,0.0017118625786211787
p447,George Washington University,Park College,1,0.0016274442483750259
p448,George Washington University,Mercer University,1,0.0077902937151279085
p449,George Washington University,St. John's University,1,0.0018029484182087406
p450,George Washington University,Purdue University,1,0.0015165750041814087
p451,George Washington University,Johns Hopkins University,1,0.0009317604135072711
p452,George Washington University,Shanghai University,1,0.0018799510205571713
p453,George Washington University,Southeast University,2,0.0013739343782369156
p454,George Washington University,Southern College,1,0.0015941614814509587
p455,George Washington University,Guanghua University,1,0.0006795974269996123
p456,George Washington University,University of Wisconsin,1,0.0009357261458763526
p457,George Washington University,Yenching University,1,0.0034364325704485457
p458,George Williams College,New York University,1,0.0013665718353469438
p459,George Williams College,Yenching University,1,0.0025402721599274178
p460,Georgetown University,University of Michigan,1,0.0009564742783971864
p461,Georgetown University,Yenching University,1,0.0008873996180681435
p462,Georgetown University,Tsinghua University,1,0.00035270889497331
p463,Georgetown University,Lingnan University,1,0.0005337176723038495
p464,Georgetown University,University of Washington,1,0.00039204252409188756
p465,Georgetown University,Nankai School,1,0.0003872205452709665
p466,Georgetown University,University of Southern California,1,0.0002921090023422638
p467,Georgetown University,State University of Iowa,1,0.0004969905312100356
p468,Ginling College,University of Michigan,3,0.0020765404636866394
p469,Ginling College,Yenching University,1,0.0021022758934795107
p470,Ginling College,University of California,1,0.0009986064059387331
p471,Ginling College,University of Chicago,2,0.0013287404513870691
p472,Ginling College,University of Rochester,1,0.00031842815514751825
p473,Ginling College,New School For Social Research,1,0.0003283328533953863
p474,Ginling College,Smith College,2,0.0004210779507237686
p475,Ginling College,Merrill-Palmer School,1,0.0033200987295739022
p476,Ginling College,Wayne University,1,0.0005521377187301475
p477,Ginling College,Oregon State College,1,0.00046132695197825065
p478,Ginling College,University of Wisconsin,1,0.0007819259392654567
