id,label,clean_label,students,degree,degree_centrality,weighted_degree,betweenness,closeness,pagerank,community,community_size,country,city,state
Fujian Union University,福建協和大學,Fujian Union University,15,17,0.04116222760290557,27,0.004623318366872097,0.3423464894109993,0.005613694100285003,2,48,China,Fuzhou,Fujian
George Peabody College,George Peabody College,George Peabody College,7,5,0.012106537530266345,8,0.0006120520048539245,0.2901303760958952,0.0022045672256011165,2,48,United States,Nashville,Tennessee
George Washington University,George Washington University,George Washington University,13,17,0.04116222760290557,18,0.014506976536177246,0.3322403199818923,0.004849839077534078,4,41,United States,Washington,District of Columbia
George Williams College,George Williams College,George Williams College,1,2,0.004842615012106538,2,0.0,0.2846273763385442,0.0007805468073890335,4,41,United States,Williams Bay,Wisconsin
Georgetown University,Georgetown University,Georgetown University,5,10,0.02421307506053269,10,0.0007917882304703185,0.3266159372977974,0.0023910711175420566,9,19,United States,Washington,District of Columbia
Georgia School of Technology,Georgia School of Technology,Georgia School of Technology,2,0,0.0,0,0.0,0.0,0.00041419301394496577,30,1,United States,Atlanta,Georgia
Ginling College,金陵女子文理學院,Ginling College,17,20,0.04842615012106538,25,0.008857233029583564,0.32582796157452165,0.005678095486505841,6,31,China,Nanjing,Jiangsu
Glasgow University,Glasgow University,Glasgow University,1,1,0.002421307506053269,1,0.0,0.20127524600989452,0.0007732075583597,9,19,United Kingdom,Glasgow,
Gonzaga University,Gonzaga University,Gonzaga University,1,2,0.004842615012106538,2,0.0,0.2687675424331129,0.0007838902697102337,2,48,United States,Spokane,Washington
Goucher College,Goucher College,Goucher College,3,4,0.009685230024213076,4,0.002238961807030369,0.2764701946215747,0.0015331476633034112,6,31,United States,Towson,Maryland
Granville College,Granville College,Granville College,1,1,0.002421307506053269,1,0.0,0.002421307506053269,0.0027612867596299075,16,2,United States,Granville,Ohio
Guangdong College of Law,廣東法學院,Guangdong College of Law,1,3,0.007263922518159807,3,0.0,0.3001237557169761,0.0009685004215650391,4,41,China,Guangzhou,Guangdong
Guangdong National University,廣東國民大學,Guangdong National University,2,3,0.007263922518159807,3,0.00011828552451150295,0.2658576576233056,0.0011436609726906276,8,24,China,Guangzhou,Guangdong
Guangdong Provincial Technical College,廣東省立工業專門學校,Guangdong Provincial Technical College,1,2,0.004842615012106538,2,0.0,0.2770373129695164,0.001032346565013865,3,42,China,Guangzhou,Guangdong
Guanghua Medical College,光華醫學院,Guanghua Medical College,1,1,0.002421307506053269,1,0.0,0.25997245442278966,0.0005753740617640388,1,62,China,Shanghai,Shanghai
