student,stage1,stage1_display,stage1_year,stage1_levels,stage1_country,stage2,stage2_display,stage2_year,stage2_levels,stage2_country,stage3,stage3_display,stage3_year,stage3_levels,stage3_country
N01106,Xiamen University,廈門大學,1925,['Unspecified'],China,Rostock University,Rostock University,1928,['Doctorate'],Other,Johns Hopkins University,Johns Hopkins University,1942,['Master'],US
N01118,Fujian Union University,福建協和大學,1927,['Unspecified'],China,Drew University,Drew University,1940,['Master'],US,University of Chicago,University of Chicago,1943,['Unspecified'],US
N01123,Jiaotong University,交通大學,1939,['Unspecified'],China,University of Pennsylvania,University of Pennsylvania,1942,['Master'],US,Harvard University,Harvard University,1943,['Unspecified'],US
N01129,Qilu University,齊魯大學,1929,['Unspecified'],China,Yenching University,燕京大學,1932,['Unspecified'],China,Cornell University,Cornell University,1942,['Doctorate'],US
N01135,St. John's University,聖約翰大學,1936,['Unspecified'],China,University of Michigan,University of Michigan,1938,['Unspecified'],US,University of Chicago,University of Chicago,1943,['Unspecified'],US
N01136,Central University,中央大學,1934,['Unspecified'],China,University of Michigan,University of Michigan,1938,['Master'],US,University of Iowa,University of Iowa,1942,['Doctorate'],US
N01137,Shanghai University,滬江大學,1937,['Unspecified'],China,Park College,Park College,1938,['Unspecified'],US,University of Missouri,University of Missouri,1939,['Unspecified'],US
N01147,Yenching University,燕京大學,1936,['Unspecified'],China,Michigan State College,Michigan State College,1940,['Master'],US,University of Michigan,University of Michigan,1943,['Unspecified'],US
N01152,Guanghua University,光華大學,1939,['Unspecified'],China,George Washington University,George Washington University,1941,['Bachelor'],US,University of Wisconsin,University of Wisconsin,1942,['Master'],US
N01168,Ginling College,金陵女子文理學院,1930,['Unspecified'],China,Mount Holyoke College,Mount Holyoke College,1933,['Master'],US,University of Michigan,University of Michigan,1937,['Unspecified'],US
N01169,Yenching University,燕京大學,1939,['Unspecified'],China,University of Michigan,University of Michigan,1942,['Unspecified'],US,Michigan State College,Michigan State College,1943,['Unspecified'],US
N01172,Tsinghua University,清華大學,1937,['Unspecified'],China,Yenching University,燕京大學,1940,['Unspecified'],China,University of California,University of California,1943,['Doctorate'],US
N01174,Lingnan University,嶺南大學,1939,['Unspecified'],China,Ohio Wesleyan University,Ohio Wesleyan University,1941,['Bachelor'],US,Ohio State University,Ohio State University,1942,['Master'],US
N01175,Lingnan University,嶺南大學,1940,['Unspecified'],China,University of Michigan,University of Michigan,1941,['Unspecified'],US,Taliesin Fellowship,Taliesin Fellowship,1942,['Unspecified'],US
N01175,University of Michigan,University of Michigan,1941,['Unspecified'],US,Taliesin Fellowship,Taliesin Fellowship,1942,['Unspecified'],US,Illinois Institute of Technology,Illinois Institute of Technology,1943,['Unspecified'],US
N01182,Guanghua University,光華大學,1926,['Unspecified'],China,University of Pennsylvania,University of Pennsylvania,1937,['Unspecified'],US,New York University,New York University,1939,['Master'],US
N01184,Southwest Associated University,西南聯合大學,1939,['Unspecified'],China,Park College,Park College,1942,['Bachelor'],US,Wellesley College,Wellesley College,1943,['Unspecified'],US
N01190,University of Hong Kong,University of Hong Kong,1941,['Unspecified'],Other,Pomona College,Pomona College,1942,['Bachelor'],US,University of Washington,University of Washington,1943,['Unspecified'],US
N01191,Guanghua University,光華大學,1941,['Unspecified'],China,Indiana University,Indiana University,1942,['Master'],US,Harvard University,Harvard University,1943,['Unspecified'],US
N01194,Jiaotong University,交通大學,1939,['Unspecified'],China,Purdue University,Purdue University,1940,['Master'],US,Illinois Institute of Technology,Illinois Institute of Technology,1942,['Unspecified'],US
N01196,Detroit Institute of Technology,Detroit Institute of Technology,1937,['Bachelor'],US,University of Michigan,University of Michigan,1938,['Master'],US,Columbia University,Columbia University,1943,['Unspecified'],US
N01197,Tsinghua University,清華大學,1937,['Unspecified'],China,University of Toronto,University of Toronto,1942,['Master'],Other,University of Chicago,University of Chicago,1943,['Unspecified'],US
N01201,Westmont College,Westmont College,1941,['Unspecified'],US,Pasadena College,Pasadena College,1942,['Unspecified'],US,University of Southern California,University of Southern California,1943,['Unspecified'],US
N01204,Jiaotong University,交通大學,1941,['Unspecified'],China,Purdue University,Purdue University,1942,['Master'],US,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1943,['Unspecified'],US
N01220,Yenching University,燕京大學,1939,['Unspecified'],China,University of Chicago,University of Chicago,1941,['Master'],US,Harvard University,Harvard University,1943,['Master'],US
N01221,Southeast University,東南大學,1925,['Unspecified'],China,University of Chicago,University of Chicago,1942,['Master'],US,Columbia University,Columbia University,1943,['Unspecified'],US
