,NameID,FullName,FullName_PY,Name_WG,Gender,University,Department,Degree,Expanded,Level,discipline,Year,Page,University_zh,University_clean,City,Province_State,Country,Latitude,Longitude
2017,N00876,陳振輝,Chen Zhenhui,"Chan, Chun-fai",M,聖約翰大學,NA,NA,NA,NA,NA,1939,492,聖約翰大學,St. John's University,Shanghai,Jiangsu,China,31.2304,121.4737
2018,N00878,陳耕陶,Chen Gengtao,"Chen, Keng-tao",M,University of Minnesota,NA,NA,NA,NA,Biochemistry,NA,492,NA,University of Minnesota,Minneapolis,Minnesota,United States,44.9635,-93.2678
2019,N00878,陳耕陶,Chen Gengtao,"Chen, Keng-tao",M,清華大學,NA,NA,NA,NA,NA,NA,492,清華大學,Tsinghua University,Beijing,Beijing,China,39.9042,116.4074
2020,N00879,陳鏡堂,Chen Jingtang,"Chen, Edward King-Tong",M,University of Houston,NA,B.S.,Bachelor of Science,Bachelor,Political Science,1943,493,NA,University of Houston,Houston,Texas,United States,29.786,-95.3885
2021,N00880,陳榮發,Chen Rongfa,"Chin, Henry",M,Northeastern University,NA,M.E.,Master of Engineering,Master,NA,1942,493,NA,Northeastern University,Boston,Massachusetts,United States,42.3188,-71.0852
2022,N00881,陳憲章,Chen Xianzhang,"Chen, Henry C.",M,New York University,NA,M.B.A.,Master of Business Administration,Master,NA,1942,493,NA,New York University,New York City,New York,United States,40.6943,-73.9249
2023,N00881,陳憲章,Chen Xianzhang,"Chen, Henry C.",M,交通大學,NA,NA,NA,NA,NA,1935,493,交通大學,Jiaotong University,Shanghai,Shanghai,China,31.2304,121.4737
2024,N00882,陳漢標,Chen Hanbiao,"Chen, Han-piao",M,State University of Iowa,NA,M.A.,Master of Arts,Master,Child Welfare,1943,493,NA,State University of Iowa,Iowa City,Iowa,United States,41.6627,-91.5549
2025,N00882,陳漢標,Chen Hanbiao,"Chen, Han-piao",M,清華大學,NA,NA,NA,NA,NA,1931,493,清華大學,Tsinghua University,Beijing,Beijing,China,39.9042,116.4074
2026,N00883,陳融生,Chen Rongsheng,"Chen, John M. S.",M,中央陸軍軍官學校,NA,NA,NA,NA,NA,1938,493,中央陸軍軍官學校,Central Army Military Academy,Nanjing,Jiangsu,China,32.0603,118.7969
2027,N00885,陳棨元,Chen Qiyuan,"Chen, Chie-yuan",M,Purdue University,NA,M.S.,Master of Science,Master,Mechanical Engineering,1943,493,NA,Purdue University,West Lafayette,Indiana,United States,40.4432,-86.9238
2028,N00885,陳棨元,Chen Qiyuan,"Chen, Chie-yuan",M,交通大學,NA,NA,NA,NA,NA,1941,493,交通大學,Jiaotong University,Shanghai,Shanghai,China,31.2304,121.4737
2029,N00886,陳冕,Chen Mian,"Chen, Graham",M,University of Chicago,NA,M.D.,Doctor of Medicine,Doctor,Medicine,1942,493,NA,University of Chicago,Chicago,Illinois,United States,41.8375,-87.6866
2030,N00886,陳冕,Chen Mian,"Chen, Graham",M,University of Michigan,NA,Sc.D.,Doctor of Science,Doctor,Chemistry,1930,493,NA,University of Michigan,Ann Arbor,Michigan,United States,42.2759,-83.731
2031,N00886,陳冕,Chen Mian,"Chen, Graham",M,之江大學,NA,NA,NA,NA,NA,1924,493,之江大學,Zhijiang University,Hangzhou,Zhejiang,China,30.2741,120.1551
2032,N00888,陳壽彭,Chen Shoupeng,"Chen, Alwin",M,Cooper Union Institute of Technology,NA,B.S.,Bachelor of Science,Bachelor,Chemical Engineering,1938,493,NA,Cooper Union Institute of Technology,New York,New York,United States,40.7297,-73.9905
2033,N00888,陳壽彭,Chen Shoupeng,"Chen, Alwin",M,University of Michigan,NA,M.S.,Master of Science,Master,Chemical Engineering,1939,493,NA,University of Michigan,Ann Arbor,Michigan,United States,42.2759,-83.731
2034,N00889,陳省身,Chen Shengshen,"Chern, Shüng-shen",M,南開大學,NA,NA,NA,NA,Mathematics,1930,493,南開大學,Nankai University,Tianjin,Tianjin,China,39.3434,117.3616
2035,N00889,陳省身,Chen Shengshen,"Chern, Shüng-shen",M,清華大學,NA,NA,NA,NA,NA,1934,493,清華大學,Tsinghua University,Beijing,Beijing,China,39.9042,116.4074
2036,N00890,陳學勤,Chen Xueqin,"Chen, Philip S.",M,Emmanuel Missionary College,NA,B.S.,Bachelor of Science,Bachelor,NA,1929,493,NA,Emmanuel Missionary College,Berrien Springs,Michigan,United States,41.963,-86.356
2037,N00890,陳學勤,Chen Xueqin,"Chen, Philip S.",M,Michigan State College,NA,M.S.,Master of Science,Master,Chemistry,1933,493,NA,Michigan State College,East Lansing,Michigan,United States,42.748,-84.4836
2038,N00890,陳學勤,Chen Xueqin,"Chen, Philip S.",M,三育大學,NA,NA,NA,NA,NA,1925,493,三育大學,Shanghai Sanyu University,Shanghai,Shanghai,China,31.2304,121.4737
2039,N00893,陳樹桓,Chen Shuhuan,"Chen, Shu-?oon",M,Lafayette College,NA,NA,NA,NA,Economics,1943,493,NA,Lafayette College,Easton,Pennsylvania,United States,40.6858,-75.2209
2040,N00894,陳榮捷,Chen Rongjie,"Chan, W. T.",M,Harvard University,NA,NA,NA,NA,Philosophy,1929,493,NA,Harvard University,Cambridge,Massachusetts,United States,42.3759,-71.1185
2041,N00894,陳榮捷,Chen Rongjie,"Chan, W. T.",M,嶺南大學,NA,NA,NA,NA,NA,1924,493,嶺南大學,Lingnan University,Guangzhou,Guangdong,China,23.1291,113.2644
2042,N00895,陳鷗汶,Chen Oumen,"Chen, Winston Ou-wen",M,University of Minnesota,NA,B.S.,Bachelor of Science,Bachelor,Aeronautical Engineering,1942,493,NA,University of Minnesota,Minneapolis,Minnesota,United States,44.9635,-93.2678
2043,N00895,陳鷗汶,Chen Oumen,"Chen, Winston Ou-wen",M,燕京大學,NA,NA,NA,NA,NA,1939,493,燕京大學,Yenching University,Beijing,Beijing,China,39.9042,116.4074
2044,N00896,陳聊聰,Chen Liaocong,"Chan, L. C.",M,University of Wisconsin,NA,M.A.,Master of Arts,Master,Political Science,1943,493,NA,University of Wisconsin,Madison,Wisconsin,United States,43.0822,-89.393
2045,N00896,陳聊聰,Chen Liaocong,"Chan, L. C.",M,光華大學,NA,NA,NA,NA,NA,1941,493,光華大學,Guanghua University,Shanghai,Shanghai,China,31.2304,121.4737
2046,N00897,陳鐵民,Chen Tiemin,"Chen, Tieh-ming",M,University of California,NA,NA,NA,NA,Political Science,1943,494,NA,University of California,Berkeley,California,United States,37.8722,-122.276
2047,N00897,陳鐵民,Chen Tiemin,"Chen, Tieh-ming",M,University of Minnesota,NA,M.A.,Master of Arts,Master,NA,1936,494,NA,University of Minnesota,Minneapolis,Minnesota,United States,44.9635,-93.2678
2048,N00897,陳鐵民,Chen Tiemin,"Chen, Tieh-ming",M,金陵大學,NA,NA,NA,NA,NA,1930,494,金陵大學,Jinling University,Nanjing,Jiangsu,China,32.0603,118.7969
2049,N00898,陳濂卿,Chen Lianqing,"Chen, Lien-ching",M,Indiana University,NA,B.A.,Bachelor of Arts,Bachelor,NA,1942,494,NA,Indiana University,Indianapolis,Indiana,United States,39.7771,-86.1458
2050,N00898,陳濂卿,Chen Lianqing,"Chen, Lien-ching",M,University of Pennsylvania,NA,NA,NA,NA,Economics,1943,494,NA,University of Pennsylvania,Philadelphia,Pennsylvania,United States,40.0077,-75.1339
2051,N00898,陳濂卿,Chen Lianqing,"Chen, Lien-ching",M,聖約翰大學,NA,NA,NA,NA,NA,1940,494,聖約翰大學,St. John's University,Shanghai,Jiangsu,China,31.2304,121.4737
2052,N00899,陳嚴道,Chen Yandao,"Chan, James Tao",M,Asbury College,NA,NA,NA,NA,NA,1940,494,NA,Asbury College,Wilmore,Kentucky,United States,37.862,-84.661
2053,N00899,陳嚴道,Chen Yandao,"Chan, James Tao",M,Rochester Mechanical of Technology,NA,NA,NA,NA,Photography,1943,494,NA,Rochester Institute of Technology,Henrietta,New York,United States,43.0592,-77.6122
2054,N00900,陳觀勝,Chen Guansheng,"Chen, Kenneth K. S",M,Harvard University,NA,NA,NA,NA,History,1943,494,NA,Harvard University,Cambridge,Massachusetts,United States,42.3759,-71.1185
2055,N00900,陳觀勝,Chen Guansheng,"Chen, Kenneth K. S",M,University of Hawaii,NA,B.A.,Bachelor of Arts,Bachelor,History,1931,494,NA,University of Hawaii,Honolulu,Hawaii,United States,21.3294,-157.846
2056,N00900,陳觀勝,Chen Guansheng,"Chen, Kenneth K. S",M,燕京大學,NA,Master,NA,NA,NA,1934,494,燕京大學,Yenching University,Beijing,Beijing,China,39.9042,116.4074
2057,N00901,陳耀池,Chen Yaochi,"Chinn, Joseph",M,University of Colorado,NA,NA,NA,NA,Engineering,1943,494,NA,University of Colorado,Boulder,Colorado,United States,40.0248,-105.2524
2058,N00902,陳錦源,Chen Jinyuan,"Chen, Chin-yuen",M,Columbia University,NA,NA,NA,NA,Economics,1943,494,NA,Columbia University,New York City,New York,United States,40.6943,-73.9249
2059,N00902,陳錦源,Chen Jinyuan,"Chen, Chin-yuen",M,清華大學,NA,NA,NA,NA,NA,1939,494,清華大學,Tsinghua University,Beijing,Beijing,China,39.9042,116.4074
2060,N00903,陳樑生,Chen Liangsheng,"Chen, Liang-sheng",M,Harvard University,NA,NA,NA,NA,Civil Engineering,1943,494,NA,Harvard University,Cambridge,Massachusetts,United States,42.3759,-71.1185
2061,N00903,陳樑生,Chen Liangsheng,"Chen, Liang-sheng",M,交通大學,NA,NA,NA,NA,NA,1938,494,交通大學,Jiaotong University,Shanghai,Shanghai,China,31.2304,121.4737
2062,N00904,陳鵬,Chen Peng,"Chen, Francis J.",M,Columbia University,NA,NA,NA,NA,Business,1941,494,NA,Columbia University,New York City,New York,United States,40.6943,-73.9249
2063,N00904,陳鵬,Chen Peng,"Chen, Francis J.",M,Haverford College,NA,NA,NA,NA,NA,1940,494,NA,Haverford College,Haverford,Pennsylvania,United States,40.01317,-75.29435
2064,N00904,陳鵬,Chen Peng,"Chen, Francis J.",M,燕京大學,NA,NA,NA,NA,NA,1937,494,燕京大學,Yenching University,Beijing,Beijing,China,39.9042,116.4074
2065,N00905,陳錫思,Chen Xisi,"Chen, Theodore Hsi-en",M,Columbia University,NA,M.A.,Master of Arts,Master,Education,1929,494,NA,Columbia University,New York City,New York,United States,40.6943,-73.9249
2066,N00905,陳錫思,Chen Xisi,"Chen, Theodore Hsi-en",M,University of Southern California,NA,Ph.D.,Doctor of Philosophy,Doctor,Education,1939,494,NA,University of Southern California,Los Angeles,California,United States,34.1141,-118.4068
2067,N00905,陳錫思,Chen Xisi,"Chen, Theodore Hsi-en",M,福建協和大學,NA,NA,NA,NA,NA,1922,494,福建協和大學,Fujian Union University,Fuzhou,Fujian,China,26.0745,119.2965
2068,N00906,陳霊,Chen Ling,"Chen, Ling",M,Purdue University,NA,XX,NA,NA,Pharmacy,NA,494,NA,Purdue University,West Lafayette,Indiana,United States,40.4432,-86.9238
2069,N00906,陳霊,Chen Ling,"Chen, Ling",M,中法大學,NA,XX,NA,NA,NA,NA,494,中法大學,Sino-French University,Beijing,Beijing,China,39.9042,116.4074
2070,N00907,黃子健,Huang Zijian,"Wong, Ken",M,Boston University,NA,B.S.,Bachelor of Science,Bachelor,Business,1938,494,NA,Boston University,Boston,Massachusetts,United States,42.3188,-71.0852
2071,N00907,黃子健,Huang Zijian,"Wong, Ken",M,Boston University,NA,NA,NA,NA,Business,1942,494,NA,Boston University,Boston,Massachusetts,United States,42.3188,-71.0852
2072,N00908,黃文威,Huang Wenwei,"Huang, Manning W.",M,New York University,NA,NA,NA,NA,Business,NA,494,NA,New York University,New York City,New York,United States,40.6943,-73.9249
2073,N00908,黃文威,Huang Wenwei,"Huang, Manning W.",M,University of Washington,NA,M.B.A.,Master of Business Administration,Master,NA,NA,494,NA,University of Washington,Seattle,Oregon,United States,47.6211,-122.3244
2074,N00908,黃文威,Huang Wenwei,"Huang, Manning W.",M,燕京大學,NA,NA,NA,NA,NA,NA,494,燕京大學,Yenching University,Beijing,Beijing,China,39.9042,116.4074
2075,N00909,黃立強,Huang Lijiang,"Wong, Lip-king",M,Carnegie Institute of Technology,NA,B.S.,Bachelor of Science,Bachelor,NA,1940,494,NA,Carnegie Institute of Technology,Pittsburgh,Pennsylvania,United States,40.4397,-79.9763
2076,N00909,黃立強,Huang Lijiang,"Wong, Lip-king",M,Syracuse University,NA,NA,NA,NA,NA,1942,494,NA,Syracuse University,Syracuse,New York,United States,43.0407,-76.1437
2077,N00909,黃立強,Huang Lijiang,"Wong, Lip-king",M,滬江大學,NA,NA,NA,NA,NA,1936,494,滬江大學,Shanghai University,Shanghai,Shanghai,China,31.2304,121.4737
2078,N00910,黃立富,Huang Lifu,"Wong, Lip-fou",M,Purdue University,NA,B.S.,Bachelor of Science,Bachelor,Mechanical Engineering,1940,494,NA,Purdue University,West Lafayette,Indiana,United States,40.4432,-86.9238
2079,N00910,黃立富,Huang Lifu,"Wong, Lip-fou",M,滬江大學,NA,NA,NA,NA,NA,1936,494,滬江大學,Shanghai University,Shanghai,Shanghai,China,31.2304,121.4737
2080,N00911,黃立德,Huang Lide,"Wong, Lip-teh",M,Baldwin Wallace College,NA,NA,NA,NA,Business,1943,494,NA,Baldwin Wallace College,Berea,Ohio,United States,41.3732,-81.8512
2081,N00912,黃仕林,Huang Shilin,"Hwang, John Shyh-Lin",M,University of Pennsylvania,NA,M.B.A.,Master of Business Administration,Master,Transportation,1941,494,NA,University of Pennsylvania,Philadelphia,Pennsylvania,United States,40.0077,-75.1339
2082,N00912,黃仕林,Huang Shilin,"Hwang, John Shyh-Lin",M,清華大學,NA,NA,NA,NA,NA,1933,494,清華大學,Tsinghua University,Beijing,Beijing,China,39.9042,116.4074
2083,N00913,黃世詵,Huang Shishen,"Huang, Shin-shain",M,清華大學,NA,NA,NA,NA,Electrical Engineering,1938,494,清華大學,Tsinghua University,Beijing,Beijing,China,39.9042,116.4074
2084,N00914,黃永強,Huang Yongjiang,"Hwang, Y. C.",M,California Institute of Technology,NA,NA,NA,NA,Electrical Engineering,1943,495,NA,California Institute of Technology,Pasadena,California,United States,34.1597,-118.139
2085,N00914,黃永強,Huang Yongjiang,"Hwang, Y. C.",M,滬江大學,NA,NA,NA,NA,NA,1940,495,滬江大學,Shanghai University,Shanghai,Shanghai,China,31.2304,121.4737
2086,N00915,黃光普,Huang Guangpu,"Huang, Paul Kuang-pu",M,Marquette University,NA,NA,NA,NA,NA,1942,495,NA,Marquette University,Milwaukee,Wisconsin,United States,43.0642,-87.9675
2087,N00915,黃光普,Huang Guangpu,"Huang, Paul Kuang-pu",M,University of Michigan,NA,M.A.,Master of Arts,Master,Economics,1937,495,NA,University of Michigan,Ann Arbor,Michigan,United States,42.2759,-83.731
